feature,operator,threshold,trades,expectancy,win_rate_pct,expectancy_lift,win_rate_lift_pp,lift_tstat
entry_expected_move,<=,0.06422393688012208,3027,1.617397788343377,41.460191608853656,3.460900724625472,1.8484609190560497,4.256005525190535
entry_rsi,<=,41.18849611809021,3027,1.6090424195722126,43.937892302609846,3.4525453558543076,4.326161612812241,3.002164548937994
entry_ema_spread,<=,-0.0013310438149704042,6053,1.586543370449606,44.98595737650752,3.430046306731701,5.374226686709916,4.473147094801013
entry_ema_trend_slope,<=,-0.003375792664536026,3027,1.2692396844094254,45.094152626362735,3.1127426206915203,5.482421936565135,2.4517266460278826
entry_rsi,<=,46.78054682368002,6053,1.1512715393210888,44.093837766396824,2.994774475603184,4.482107076599223,4.075564441757881
entry_ema_spread,<=,-0.004393939247333126,3027,1.035363733870616,45.226296663363065,2.878866670152711,5.614565973565461,2.324044998966158
entry_ema_trend_slope,<=,-0.0008319946765585895,6053,0.9021293730029565,44.01123409879399,2.7456323092850514,4.399503408996386,3.4876196486619997
entry_atr_pct_rank,>=,46.0,3119,0.5597800665488809,44.27701186277653,2.403283002830976,4.66528117297893,2.097561203988195
entry_ret_8,<=,-0.0022686567164180715,6053,0.46194608057318515,43.31736329093012,2.30544901685528,3.7056326011325136,3.1572929734609794
entry_vol_ratio,>=,2.7048374473330985,3016,0.14845067885769045,40.48408488063661,1.9919536151397854,0.8723541908390031,1.9790775858143221
entry_expected_move,<=,0.08936210834121484,6053,-0.011623621449704571,39.534115314719976,1.8318793148323904,-0.07761537507762761,3.2148845068204888
entry_ret_8,<=,-0.017396397252034013,3027,-0.02926431047371637,44.00396432111001,1.8142386258083785,4.392233631312409,1.5073601162023775
