min_squeeze_score,min_direction_confidence,stop_atr,target_atr,trailing_stop_pct,min_volume_ratio,score,windows,test_return_compounded_pct,test_return_mean_pct,test_return_median_pct,test_return_std_pct,test_worst_window_pct,test_positive_windows_pct,test_total_trades,test_win_rate_pct,test_profit_factor,test_avg_max_dd_pct
0.65,0.45,1.8,2.3,0.025,0.15,6.080459563237234,7,-0.490262803983299,-0.029403572483604177,1.1176607620641654,2.8573711607010317,-3.2555080683352666,57.14285714285714,301,48.837209302325576,0.9948913294295113,-2.745264825344667
0.5,0.6,1.8,2.3,0.025,0.15,5.127046328204247,7,-0.48820583740262213,-0.030443939733943676,-0.7719282329146537,2.810799520190833,-3.872334865436422,42.857142857142854,331,45.9214501510574,0.9952174451513062,-2.4692810920239694
0.6,0.55,1.6,1.8,0.02,0.2,4.0791517978691685,7,-2.0141423262042935,-0.24285710687733827,0.5191339303117104,3.0705234317233603,-4.375039717214135,57.14285714285714,338,46.15384615384615,0.960400271782474,-2.600176390159034
0.65,0.55,2.0,2.1,0.015,0.25,3.160540203263536,7,-1.8734591202341222,-0.23846581485093324,-0.44421420681284296,2.5051953437307,-4.222306297434642,42.857142857142854,311,50.482315112540185,0.9598441431307145,-2.6212665318245576
0.55,0.65,1.2,2.6,0.018,0.2,2.8443776205790856,7,-2.9798175709798147,-0.41817785687694614,-0.20320483079905305,1.6137189327782773,-2.566622756591941,42.857142857142854,370,40.54054054054054,0.9349806721723419,-2.286706232790779
0.45,0.5,1.2,2.6,0.018,0.2,-1.3418836711234583,7,-4.728318473809445,-0.6780688675774685,-1.0133443820127042,1.521278828065735,-2.497196083528952,14.285714285714285,421,39.90498812351544,0.9082013457645988,-2.5821588929096384
0.5,0.4,1.6,1.8,0.02,0.15,-4.55089064092061,7,-7.910542641749352,-1.1272459885002188,-0.09088502202631021,2.9102358694043464,-5.865140000531344,42.857142857142854,384,43.22916666666667,0.8514288511112863,-3.075255715256585
0.6,0.65,1.6,3.0,0.012,0.3,-4.765692930325601,7,-7.226543121438467,-1.0324769555725017,-0.4022367737133936,2.576856402234199,-4.7811831151697515,28.57142857142857,337,46.29080118694362,0.8354814057048539,-2.806738595014671
0.55,0.5,2.0,3.0,0.025,0.35,-6.922894676608304,7,-8.942819567898397,-1.2938100742125123,-1.9994210767670717,2.651177516699076,-4.911931797874458,42.857142857142854,282,43.97163120567376,0.783689120815048,-2.997971499167813
0.55,0.6,1.5,3.0,0.015,0.3,-7.166275902757095,7,-9.353544549083725,-1.3631646350356168,-1.2823424778743653,2.438397877254958,-4.877290424100044,28.57142857142857,353,42.77620396600567,0.8014381241658258,-3.1103644680633784
0.55,0.4,2.0,2.1,0.015,0.25,-7.984082389096432,7,-9.140788103484887,-1.3331240783641802,-0.8997510934556807,2.3091915419846054,-4.997752817106294,14.285714285714285,327,48.318042813455655,0.8088545916912752,-3.1312661460465385
0.5,0.5,1.6,3.0,0.012,0.25,-10.047115228114144,7,-10.821582038001132,-1.596796606186446,-1.239204709261199,2.2639986314704763,-4.96764550230896,14.285714285714285,373,45.57640750670242,0.7757682671792984,-3.0853307738517484
0.45,0.6,1.4,2.3,0.01,0.3,-12.904553609923386,7,-13.40536617103465,-2.0068513226980205,-2.270228128776486,2.3783809961687203,-4.853350815121315,14.285714285714285,429,41.72494172494173,0.7441450731478292,-3.420453640138727
0.6,0.45,1.4,2.3,0.01,0.3,-16.941763135221656,7,-16.401636133202057,-2.5010923842741457,-2.273258569076042,2.245075784980156,-5.332577942201732,14.285714285714285,386,39.637305699481864,0.663346707578501,-3.5244049919797797
